t_sec,nBack,number,expectedResponse,actualResponse
167.3512,0,6,0,0
169.4705,0,1,0,0
171.5873,0,1,0,0
173.7195,0,0,1,1
175.8479,0,6,0,0
177.941,0,0,1,1
179.9905,0,0,1,1
182.1104,0,8,0,0
184.229,0,3,0,0
186.3492,0,3,0,0
188.4254,0,0,1,1
190.546,0,2,0,0
192.6656,0,7,0,0
194.7834,0,3,0,0
196.8655,0,0,1,1
198.985,0,5,0,0
201.1026,0,5,0,0
203.2524,0,0,1,1
205.3734,0,9,0,0
207.4618,0,0,1,1
209.5398,0,0,1,1
211.6738,0,0,1,1
213.7924,0,5,0,0
215.8817,0,0,1,1
217.9985,0,9,0,0
220.1179,0,2,0,0
222.2376,0,5,0,0
224.3538,0,7,0,0
226.4058,0,0,1,1
228.5238,0,7,0,0
230.6436,0,1,0,0
232.7618,0,5,0,0
234.8795,0,8,0,0
236.998,0,9,0,0
239.1156,0,1,0,0
241.2331,0,4,0,0
243.3569,0,0,1,1
245.4016,0,0,1,1
247.5161,0,5,0,0
249.6309,0,1,0,0
251.7487,0,3,0,0
253.8652,0,8,0,0
255.9835,0,5,0,0
258.0998,0,0,1,1
260.2171,0,7,0,0
262.3341,0,7,0,0
264.4271,0,0,1,1
266.5443,0,6,0,0
268.6623,0,8,0,0
270.7791,0,1,0,0
272.9322,0,0,1,1
275.0507,0,3,0,0
277.1678,0,3,0,0
279.2859,0,6,0,0
281.4042,0,1,0,0
283.5223,0,6,0,0
285.5876,0,0,1,1
287.7356,0,0,1,1
289.8495,0,4,0,0
291.9282,0,0,1,1
294.0464,0,7,0,0
296.1637,0,5,0,0
298.2039,0,0,1,1
300.3319,0,0,1,1
302.4498,0,7,0,0
304.5005,0,0,1,1
306.6188,0,8,0,0
308.7362,0,7,0,0
310.8554,0,5,0,0
312.9745,0,7,0,0
315.0581,0,0,1,1
317.1996,0,0,1,1
319.2812,0,0,1,1
321.3998,0,8,0,0
323.518,0,1,0,0
325.6363,0,1,0,0
327.7558,0,1,0,0
329.874,0,4,0,0
332.0457,0,0,1,1
334.1652,0,5,0,0
336.3177,0,0,1,1
338.4343,0,2,0,0
340.5536,0,7,0,0
342.708,0,0,1,1
344.8337,0,0,1,1
346.9402,0,0,1,1
349.0578,0,5,0,0
351.1748,0,8,0,0
353.294,0,5,0,0
355.3894,0,0,1,1
357.5357,0,0,1,1
359.6537,0,3,0,0
361.7885,0,0,1,1
363.8782,0,0,1,1
365.9759,0,0,1,1
368.1152,0,0,1,1
370.2352,0,7,0,0
372.356,0,4,0,0
374.474,0,1,0,0
376.5929,0,5,0,0
408.8278,1,6,0,0
410.9485,1,0,0,0
413.0808,1,0,1,1
415.1987,1,2,0,0
417.32,1,8,0,0
419.4408,1,3,0,0
421.5583,1,5,0,0
423.699,1,5,1,1
425.8176,1,2,0,0
427.8633,1,2,1,1
429.9814,1,6,0,0
432.098,1,3,0,0
434.1559,1,3,1,1
436.2738,1,4,0,0
438.3915,1,8,0,0
440.5094,1,5,0,0
442.6279,1,9,0,0
444.7004,1,9,1,1
446.8177,1,5,0,0
448.9362,1,0,0,0
451.0202,1,0,1,1
453.1392,1,8,0,0
455.1925,1,8,1,1
457.2702,1,8,1,1
459.3885,1,4,0,0
461.508,1,3,0,0
463.6271,1,8,0,0
465.7464,1,0,0,0
467.8629,1,8,0,0
469.9811,1,6,0,0
472.0971,1,8,0,0
474.2163,1,5,0,0
476.35,1,5,1,1
478.4272,1,5,1,1
480.5464,1,3,0,0
482.6623,1,4,0,0
484.7675,1,4,1,1
486.8853,1,3,0,0
489.0015,1,2,0,0
491.1204,1,8,0,0
493.2424,1,8,1,1
495.3602,1,8,1,1
497.4784,1,6,0,0
499.5963,1,2,0,0
501.7211,1,2,1,1
503.8591,1,2,1,1
505.9742,1,3,0,0
508.113,1,3,1,1
510.2081,1,3,1,1
512.3259,1,6,0,0
514.4452,1,9,0,0
516.5644,1,4,0,0
518.6835,1,2,0,0
520.8027,1,1,0,0
522.8873,1,1,1,1
525.0212,1,1,1,1
527.0709,1,1,1,1
529.1897,1,5,0,0
531.3087,1,3,0,0
533.4263,1,5,0,0
535.5443,1,2,0,0
537.655,1,2,1,1
539.7871,1,2,1,1
541.9061,1,3,0,0
544.0256,1,7,0,0
546.1434,1,5,0,0
548.2617,1,3,0,0
550.3797,1,5,0,0
552.4947,1,6,0,0
554.6126,1,8,0,0
556.7307,1,5,0,0
558.8499,1,2,0,0
560.9681,1,7,0,0
563.026,1,7,1,1
565.1441,1,2,0,0
567.259,1,7,0,0
569.3781,1,4,0,0
571.4985,1,7,0,0
573.6174,1,2,0,0
575.6627,1,2,1,1
577.7802,1,9,0,0
579.8978,1,6,0,0
582.0165,1,7,0,0
584.1356,1,6,0,0
586.2531,1,2,0,0
588.3658,1,2,1,1
590.416,1,2,1,1
592.5336,1,6,0,0
594.6514,1,6,1,1
596.7701,1,1,0,0
598.9026,1,1,1,1
601.0172,1,8,0,0
603.0832,1,8,1,1
605.2011,1,2,0,0
607.3254,1,2,1,1
609.487,1,2,1,1
611.5609,1,2,1,1
613.6259,1,2,1,1
615.7407,1,8,0,0
617.861,1,4,0,0
650.1935,2,2,0,0
652.3105,2,4,0,0
654.3548,2,2,1,1
656.4692,2,1,0,0
658.5423,2,2,1,1
660.66,2,4,0,0
662.7827,2,4,0,0
664.8995,2,3,0,0
667.0176,2,8,0,0
669.1358,2,5,0,0
671.2554,2,7,0,0
673.372,2,8,0,0
675.4354,2,7,1,1
677.5515,2,3,0,0
679.6695,2,3,0,0
681.7874,2,5,0,0
683.901,2,4,0,0
686.0188,2,8,0,0
688.1362,2,4,1,0
690.2543,2,8,1,0
692.3711,2,6,0,0
694.4885,2,4,0,0
696.6326,2,6,1,1
698.7512,2,4,1,0
700.8703,2,2,0,0
702.9846,2,4,1,1
705.0824,2,2,1,1
707.2018,2,3,0,0
709.3203,2,7,0,0
711.4391,2,5,0,0
713.5568,2,0,0,0
715.6749,2,9,0,0
717.7945,2,6,0,0
719.9125,2,1,0,0
721.9668,2,6,1,1
724.0859,2,3,0,0
726.1226,2,6,1,1
728.2415,2,5,0,0
730.3614,2,7,0,0
732.4783,2,6,0,0
734.5968,2,2,0,0
736.7144,2,5,0,0
738.8583,2,2,1,1
740.9744,2,6,0,0
743.0935,2,3,0,0
745.2231,2,6,1,1
747.3392,2,3,1,1
749.4548,2,0,0,0
751.5729,2,5,0,0
753.6911,2,8,0,0
755.8071,2,5,1,1
757.9137,2,8,1,1
760.0061,2,5,1,1
762.1254,2,7,0,0
764.2269,2,5,1,1
766.3235,2,7,1,1
768.4426,2,2,0,0
770.5617,2,5,0,0
772.6253,2,2,1,1
774.7422,2,5,1,0
776.8593,2,6,0,0
778.9766,2,0,0,0
781.0933,2,7,0,0
783.2231,2,0,1,1
785.3419,2,8,0,0
787.4576,2,5,0,0
789.5424,2,8,1,1
791.6605,2,1,0,0
793.7794,2,7,0,0
795.8965,2,4,0,0
798.015,2,4,0,0
800.1343,2,3,0,0
802.2531,2,3,0,0
804.373,2,9,0,0
806.4987,2,3,1,1
808.6162,2,8,0,0
810.7335,2,6,0,0
812.8331,2,8,1,1
814.959,2,6,1,1
817.0762,2,9,0,0
819.1766,2,6,1,1
821.2924,2,7,0,0
823.4088,2,6,1,1
825.5262,2,5,0,0
827.6268,2,6,1,1
829.7452,2,6,0,0
831.8646,2,0,0,0
833.9817,2,5,0,0
836.0461,2,0,1,1
838.1644,2,2,0,0
840.2808,2,4,0,0
842.4192,2,2,1,1
844.4956,2,4,1,1
846.6146,2,1,0,0
848.7319,2,5,0,0
850.8621,2,1,1,1
852.9381,2,5,1,1
855.0234,2,1,1,1
857.141,2,0,0,0
859.2438,2,1,1,1
891.4588,3,6,0,0
893.5766,3,8,0,0
895.6951,3,9,0,0
897.8389,3,6,1,1
899.986,3,8,1,1
902.102,3,9,1,0
904.1438,3,8,0,1
906.2613,3,1,0,0
908.3799,3,7,0,0
910.4976,3,9,0,0
912.6146,3,5,0,0
914.7324,3,2,0,0
916.8506,3,5,0,0
918.9677,3,6,0,0
921.0875,3,6,0,0
923.1765,3,5,1,1
925.2935,3,8,0,0
927.3832,3,6,1,1
929.5006,3,0,0,0
931.627,3,8,1,1
933.7485,3,6,1,1
935.8547,3,0,1,1
937.9712,3,8,1,0
940.0857,3,6,1,0
942.2038,3,8,0,0
944.3387,3,8,1,1
946.4502,3,6,1,1
948.57,3,6,0,0
950.6888,3,3,0,0
952.8083,3,9,0,0
954.9268,3,3,0,0
957.0447,3,1,0,0
959.1613,3,5,0,0
961.2869,3,6,0,0
963.4047,3,2,0,0
965.4602,3,5,1,1
967.5765,3,5,0,0
969.6952,3,8,0,0
971.8155,3,7,0,0
973.9387,3,5,1,1
976.0547,3,2,0,0
978.1742,3,5,0,0
980.2926,3,7,0,0
982.3371,3,2,1,1
984.4294,3,5,1,1
986.5466,3,5,0,0
988.5938,3,7,0,1
990.7123,3,5,1,0
992.8319,3,5,1,0
994.9486,3,7,1,0
997.0694,3,8,0,0
999.2097,3,7,0,1
1001.329,3,2,0,0
1003.448,3,3,0,0
1005.567,3,3,0,0
1007.667,3,2,1,1
1009.812,3,3,1,1
1011.931,3,7,0,0
1014.047,3,1,0,0
1016.165,3,7,0,0
1018.252,3,7,1,1
1020.336,3,1,1,1
1022.456,3,4,0,0
1024.576,3,7,1,0
1026.693,3,5,0,0
1028.812,3,9,0,0
1030.953,3,7,1,1
1033.071,3,5,1,0
1035.189,3,2,0,0
1037.306,3,8,0,0
1039.389,3,2,0,1
1041.508,3,2,1,0
1043.596,3,8,1,1
1045.712,3,2,1,0
1047.83,3,2,1,0
1049.882,3,8,1,1
1052,3,7,0,0
1054.12,3,3,0,0
1056.231,3,8,1,1
1058.348,3,1,0,0
1060.467,3,3,1,0
1062.504,3,8,1,1
1064.629,3,1,1,1
1066.747,3,5,0,0
1068.79,3,1,0,1
1070.908,3,0,0,0
1073.023,3,3,0,0
1075.1,3,1,1,1
1077.211,3,0,1,1
1079.328,3,8,0,0
1081.443,3,1,1,0
1083.562,3,4,0,0
1085.681,3,2,0,0
1087.798,3,2,0,0
1089.916,3,6,0,0
1092.013,3,2,1,1
1094.13,3,3,0,0
1096.201,3,6,1,1
1098.318,3,2,1,0
1100.437,3,3,1,0
